County,"Revised  July 1, 2020","Revised  July 1, 2021","Revised  July 1, 2022","Revised  July 1, 2023","Revised  July 1, 2024","Preliminary  July 1, 2025"
Alameda,"1,683,829","1,661,283","1,651,884","1,653,486","1,659,982","1,661,903"
Alpine,"1,202","1,181","1,177","1,166","1,166","1,156"
Amador,"40,409","40,266","40,162","40,178","40,151","39,829"
Butte,"210,220","206,101","206,573","206,485","207,524","207,410"
Calaveras,"45,253","45,017","44,767","44,615","44,436","44,269"
Colusa,"21,865","21,950","21,965","22,088","22,130","22,086"
Contra Costa,"1,168,757","1,163,725","1,156,527","1,156,722","1,162,359","1,161,921"
Del Norte,"27,598","27,277","26,449","26,288","26,816","26,435"
El Dorado,"190,722","191,086","189,729","189,070","189,534","189,384"
Fresno,"1,007,167","1,009,901","1,015,296","1,023,291","1,034,206","1,039,305"
Glenn,"28,784","28,594","28,604","28,596","28,863","28,922"
Humboldt,"136,226","134,744","134,735","134,333","133,497","132,806"
Imperial,"180,280","179,704","180,951","182,960","186,245","185,620"
Inyo,"18,955","18,889","18,848","18,742","18,638","18,549"
Kern,"906,590","909,122","912,859","913,479","921,490","924,700"
Kings,"152,145","151,577","151,826","152,711","153,638","153,967"
Lake,"67,380","67,182","66,995","66,627","66,871","66,649"
Lassen,"31,855","31,094","29,641","28,091","28,008","27,388"
Los Angeles,"10,012,050","9,914,219","9,860,931","9,855,630","9,898,257","9,853,435"
Madera,"156,649","157,497","158,548","161,259","163,342","164,943"
Marin,"261,046","257,810","255,199","254,119","253,637","252,239"
Mariposa,"17,098","17,022","16,941","16,858","16,796","16,720"
Mendocino,"91,142","90,712","89,819","89,543","89,437","89,205"
Merced,"281,750","283,107","286,682","289,360","292,283","293,803"
Modoc,"8,684","8,566","8,595","8,542","8,489","8,452"
Mono,"13,227","13,125","12,963","12,928","12,670","12,569"
Monterey,"439,505","437,392","436,754","436,318","436,665","438,103"
Napa,"137,957","136,897","135,688","135,449","135,817","136,411"
Nevada,"102,142","101,937","100,734","100,511","100,486","99,995"
Orange,"3,189,916","3,167,049","3,165,015","3,160,022","3,173,633","3,169,463"
Placer,"405,734","409,086","411,757","415,924","422,858","428,181"
Plumas,"19,811","19,655","19,245","19,042","18,771","18,820"
Riverside,"2,420,048","2,430,522","2,443,407","2,460,869","2,481,110","2,492,366"
Sacramento,"1,589,948","1,586,609","1,581,778","1,590,096","1,605,188","1,616,991"
San Benito,"64,295","65,247","66,126","66,153","66,634","67,264"
San Bernardino,"2,185,456","2,183,940","2,186,004","2,191,122","2,205,227","2,209,615"
San Diego,"3,308,252","3,286,406","3,296,138","3,302,854","3,323,371","3,331,449"
San Francisco,"867,987","836,266","835,300","836,323","840,440","843,130"
San Joaquin,"781,798","784,792","789,663","797,521","807,373","812,771"
San Luis Obispo,"281,956","277,911","280,024","279,127","278,935","279,113"
San Mateo,"758,833","746,845","741,555","741,745","746,035","747,417"
Santa Barbara,"447,207","438,097","444,384","442,874","444,754","445,385"
Santa Clara,"1,927,958","1,897,710","1,896,631","1,904,567","1,921,212","1,926,809"
Santa Cruz,"271,656","263,335","265,763","264,187","263,464","262,137"
Shasta,"182,572","182,125","180,663","180,456","181,532","181,582"
Sierra,"3,232","3,216","3,195","3,162","3,131","3,109"
Siskiyou,"44,002","43,613","43,382","43,101","42,878","42,530"
Solano,"453,827","450,815","448,536","449,644","452,445","451,773"
Sonoma,"488,266","483,223","481,057","480,463","482,514","483,481"
Stanislaus,"553,413","551,280","549,895","551,297","555,536","556,900"
Sutter,"99,281","98,894","99,264","99,989","100,615","101,188"
Tehama,"66,072","65,685","65,442","65,205","65,071","64,881"
Trinity,"16,103","16,007","15,932","15,871","15,807","15,733"
Tulare,"473,395","475,220","477,288","480,570","485,476","487,140"
Tuolumne,"55,487","54,665","53,294","53,392","53,365","52,527"
Ventura,"844,689","838,464","832,680","829,346","829,880","827,527"
Yolo,"218,003","213,948","221,719","221,421","223,569","225,010"
Yuba,"82,058","82,446","83,058","84,111","85,400","86,433"
